glitch_pulse,glitch_delay,state,glitch_text,is_success
8,439296,glitched,539ba31a988912a8bd8cec9331477402,False
9,440517,glitched,539ba31a988912a8bd8cec9331477402,False
8,437389,glitched,539ba31a988912a8bd8cec9331477402,False
9,441308,glitched,539ba31a988912a8bd8cec9331477402,False
8,439742,glitched,539ba31a988912a8bd8cec9331477402,False
9,441729,glitched,539ba31a988912a8bd8cec9331477402,False
8,440122,glitched,539ba31a988912a8bd8cec9331477402,False
8,441352,glitched,539ba31a988912a8bd8cec9331477402,False
8,436246,glitched,539ba31a988912a8bd8cec9331477402,False
8,441333,glitched,539ba31a988912a8bd8cec9331477402,False
8,436688,glitched,539ba31a988912a8bd8cec9331477402,False
8,436403,glitched,539ba31a988912a8bd8cec9331477402,False
9,438888,glitched,539ba31a988912a8bd8cec9331477402,False
8,436122,glitched,539ba31a988912a8bd8cec9331477402,False
9,442087,glitched,539ba31a988912a8bd8cec9331477402,False
9,437679,glitched,539ba31a988912a8bd8cec9331477402,False
9,435759,glitched,539ba31a988912a8bd8cec9331477402,False
9,439755,glitched,539ba31a988912a8bd8cec9331477402,False
8,437071,glitched,539ba31a988912a8bd8cec9331477402,False
9,439564,glitched,539ba31a988912a8bd8cec9331477402,False
9,439439,glitched,539ba31a988912a8bd8cec9331477402,False
8,441839,glitched,539ba31a988912a8bd8cec9331477402,False
9,435860,glitched,539ba31a988912a8bd8cec9331477402,False
8,442148,glitched,539ba31a988912a8bd8cec9331477402,False
8,439016,glitched,539ba31a988912a8bd8cec9331477402,False
9,435998,glitched,539ba31a988912a8bd8cec9331477402,False
8,437600,glitched,539ba31a988912a8bd8cec9331477402,False
8,436278,glitched,539ba31a988912a8bd8cec9331477402,False
8,441752,glitched,539ba31a988912a8bd8cec9331477402,False
9,438168,glitched,539ba31a988912a8bd8cec9331477402,False
8,437279,glitched,539ba31a988912a8bd8cec9331477402,False
9,435702,glitched,539ba31a988912a8bd8cec9331477402,False
9,438962,glitched,539ba31a988912a8bd8cec9331477402,False
9,441197,glitched,539ba31a988912a8bd8cec9331477402,False
9,436700,glitched,539ba31a988912a8bd8cec9331477402,False
9,436284,glitched,539ba31a988912a8bd8cec9331477402,False
8,437986,glitched,539ba31a988912a8bd8cec9331477402,False
9,439051,glitched,539ba31a988912a8bd8cec9331477402,False
9,439616,glitched,539ba31a988912a8bd8cec9331477402,False
9,441961,glitched,539ba31a988912a8bd8cec9331477402,False
